#|name
1|Subdivision
2|Kyiv
3|Kharkiv Oblast
4|Odesa Oblast
5|Dnipropetrovsk Oblast
6|Donetsk Oblast
7|Zaporizhzhia Oblast
8|Lviv Oblast
9|Dnipropetrovsk Oblast
10|Mykolaiv Oblast
11|Donetsk Oblast
12|Luhansk Oblast
13|Sevastopol
14|Vinnytsia Oblast
15|Donetsk Oblast
16|Crimea
17|Kherson Oblast
18|Poltava Oblast
19|Chernihiv Oblast
20|Cherkasy Oblast
